--- Log zapocet: 5/6/2026 5:29:31 PM ---
[17:29:43] [Nit 8] Cache hit (q): mona lisa, Vreme: 0.0269ms
[17:29:43] [Nit 5] Cache hit (q): mona lisa, Vreme: 0.0293ms
[17:29:43] [Nit 14] Cache hit (q): mona lisa, Vreme: 0.0249ms
[17:29:43] [Nit 11] Cache hit (q): mona lisa, Vreme: 0.0318ms
[17:29:43] [Nit 12] Cache hit (q): mona lisa, Vreme: 0.0308ms
[17:29:43] [Nit 13] Stampedo (q): mona lisa, Vreme: 233.2411ms
[17:29:43] [Nit 6] Stampedo (q): mona lisa, Vreme: 232.1758ms
[17:29:43] [Nit 7] Stampedo (q): mona lisa, Vreme: 237.3982ms
[17:29:43] [Nit 8] Cache hit (q): mona lisa, Vreme: 0.0263ms
[17:29:43] [Nit 9] Stampedo (q): mona lisa, Vreme: 239.6704ms
[17:29:43] [Nit 10] Stampedo (q): mona lisa, Vreme: 240.8841ms
[17:29:43] [Nit 5] API poziv (author): van gogh, Vreme: 374.6536ms
[17:29:43] [Nit 14] Stampedo (author): van gogh, Vreme: 371.699ms
[17:29:43] [Nit 11] Stampedo (author): van gogh, Vreme: 348.8358ms
[17:29:43] [Nit 5] Cache hit (author): van gogh, Vreme: 0.0383ms
[17:29:43] [Nit 5] Cache hit (author): van gogh, Vreme: 0.1104ms
[17:29:43] [Nit 14] Cache hit (author): van gogh, Vreme: 0.0227ms
[17:29:43] [Nit 12] Stampedo (author): van gogh, Vreme: 350.296ms
[17:29:43] [Nit 13] Stampedo (author): van gogh, Vreme: 357.7648ms
[17:29:43] [Nit 6] Stampedo (author): van gogh, Vreme: 359.5752ms
[17:29:43] [Nit 11] Cache hit (author): van gogh, Vreme: 0.0329ms
[17:29:43] [Nit 12] Cache hit (author): van gogh, Vreme: 0.0428ms
[17:29:43] [Nit 14] Cache hit (author): van gogh, Vreme: 0.7809ms
[17:29:43] [Nit 13] Cache hit (author): van gogh, Vreme: 0.0281ms
[17:29:43] [Nit 5] Cache hit (author): van gogh, Vreme: 0.0386ms
[17:29:43] [Nit 7] Stampedo (author): van gogh, Vreme: 358.8538ms
[17:29:43] [Nit 8] Stampedo (author): van gogh, Vreme: 369.7076ms
[17:29:43] [Nit 11] Cache hit (author): van gogh, Vreme: 0.0259ms
[17:29:43] [Nit 12] Cache hit (q): picasso, Vreme: 0.052ms
[17:29:43] [Nit 6] Cache hit (author): van gogh, Vreme: 0.029ms
[17:29:43] [Nit 9] Stampedo (author): van gogh, Vreme: 369.7303ms
[17:29:43] [Nit 14] Cache hit (q): picasso, Vreme: 0.056ms
[17:29:43] [Nit 10] Stampedo (author): van gogh, Vreme: 372.3133ms
[17:29:43] [Nit 13] Cache hit (q): picasso, Vreme: 0.0487ms
[17:29:43] [Nit 5] Cache hit (q): picasso, Vreme: 0.0697ms
[17:29:43] [Nit 7] Cache hit (q): picasso, Vreme: 0.0745ms
[17:29:43] [Nit 8] Cache hit (q): picasso, Vreme: 0.0369ms
[17:29:43] [Nit 11] Cache hit (q): picasso, Vreme: 0.0445ms
[17:29:43] [Nit 6] Cache hit (q): picasso, Vreme: 0.0226ms
[17:29:43] [Nit 9] Cache hit (q): picasso, Vreme: 0.0143ms
[17:29:43] [Nit 12] Cache hit (q): picasso, Vreme: 0.0463ms
[17:29:43] [Nit 14] Cache hit (q): picasso, Vreme: 0.0411ms
[17:29:43] [Nit 10] Cache hit (q): picasso, Vreme: 0.0287ms
[17:29:43] [Nit 13] Cache hit (q): picasso, Vreme: 0.0234ms
[17:29:43] [Nit 5] Cache hit (q): picasso, Vreme: 0.0462ms
[17:29:43] [Nit 7] Cache hit (q): picasso, Vreme: 0.023ms
[17:29:43] [Nit 8] Cache hit (q): picasso, Vreme: 0.0231ms
[17:29:43] [Nit 11] Cache hit (q): picasso, Vreme: 0.023ms
[17:29:43] [Nit 6] Cache hit (q): cats, Vreme: 0.0774ms
[17:29:43] [Nit 9] Cache hit (q): picasso, Vreme: 0.0251ms
[17:29:43] [Nit 12] Cache hit (q): picasso, Vreme: 0.0507ms
[17:29:43] [Nit 14] Cache hit (q): picasso, Vreme: 0.0158ms
[17:29:43] [Nit 10] Cache hit (q): cats, Vreme: 0.0382ms
[17:29:43] [Nit 13] Cache hit (q): cats, Vreme: 0.0238ms
[17:29:43] [Nit 5] Cache hit (q): cats, Vreme: 0.0278ms
[17:29:43] [Nit 7] Cache hit (q): cats, Vreme: 0.0374ms
[17:29:43] [Nit 8] Cache hit (q): cats, Vreme: 0.0245ms
[17:29:43] [Nit 11] Cache hit (q): cats, Vreme: 0.0452ms
[17:29:43] [Nit 6] Cache hit (q): cats, Vreme: 0.0368ms
[17:29:43] [Nit 9] Cache hit (q): cats, Vreme: 0.0206ms
[17:29:43] [Nit 12] Cache hit (q): cats, Vreme: 0.0249ms
[17:29:43] [Nit 14] Cache hit (q): cats, Vreme: 0.0588ms
[17:29:43] [Nit 10] Cache hit (q): cats, Vreme: 0.0195ms
[17:29:43] [Nit 13] Cache hit (q): cats, Vreme: 0.0228ms
[17:29:43] [Nit 5] Cache hit (q): cats, Vreme: 0.0354ms
[17:29:43] [Nit 7] Cache hit (q): cats, Vreme: 0.0446ms
[17:29:43] [Nit 8] Cache hit (q): cats, Vreme: 0.025ms
[17:29:43] [Nit 11] Cache hit (q): cats, Vreme: 0.0375ms
[17:29:43] [Nit 6] Cache hit (q): monet, Vreme: 0.0236ms
[17:29:43] [Nit 9] Cache hit (q): cats, Vreme: 0.0201ms
[17:29:43] [Nit 12] Cache hit (q): cats, Vreme: 0.0282ms
[17:29:43] [Nit 14] Cache hit (q): cats, Vreme: 0.037ms
[17:29:43] [Nit 10] Cache hit (q): monet, Vreme: 0.0779ms
[17:29:43] [Nit 13] Cache hit (q): monet, Vreme: 0.0437ms
[17:29:43] [Nit 5] Cache hit (q): monet, Vreme: 0.0343ms
[17:29:43] [Nit 7] Cache hit (q): monet, Vreme: 0.0334ms
[17:29:43] [Nit 8] Cache hit (q): monet, Vreme: 0.0224ms
[17:29:43] [Nit 11] Cache hit (q): monet, Vreme: 0.0445ms
[17:29:43] [Nit 6] Cache hit (q): monet, Vreme: 0.0303ms
[17:29:43] [Nit 9] Cache hit (q): monet, Vreme: 0.0333ms
[17:29:43] [Nit 12] Cache hit (q): monet, Vreme: 0.0304ms
[17:29:43] [Nit 14] Cache hit (q): monet, Vreme: 0.0494ms
[17:29:43] [Nit 10] Cache hit (q): monet, Vreme: 0.0256ms
[17:29:43] [Nit 13] Cache hit (q): monet, Vreme: 0.0203ms
[17:29:43] [Nit 5] Cache hit (q): monet, Vreme: 0.0461ms
[17:29:43] [Nit 7] Cache hit (q): monet, Vreme: 0.0216ms
[17:29:43] [Nit 8] Cache hit (q): monet, Vreme: 0.0287ms
[17:29:43] [Nit 11] Cache hit (q): monet, Vreme: 0.0373ms
[17:29:43] [Nit 6] Cache hit (author): monet, Vreme: 0.0245ms
[17:29:43] [Nit 9] Cache hit (q): monet, Vreme: 0.0274ms
[17:29:43] [Nit 12] Cache hit (q): monet, Vreme: 0.0234ms
[17:29:43] [Nit 14] Cache hit (q): monet, Vreme: 0.0517ms
[17:29:43] [Nit 10] Cache hit (author): monet, Vreme: 0.0411ms
[17:29:43] [Nit 13] Cache hit (author): monet, Vreme: 0.0434ms
[17:29:43] [Nit 5] Cache hit (author): monet, Vreme: 0.0328ms
[17:29:43] [Nit 8] Cache hit (author): monet, Vreme: 0.0528ms
[17:29:43] [Nit 7] Cache hit (author): monet, Vreme: 0.0256ms
[17:29:43] [Nit 11] Cache hit (author): monet, Vreme: 0.0476ms
[17:29:43] [Nit 6] Cache hit (author): monet, Vreme: 0.0247ms
[17:29:43] [Nit 9] Cache hit (author): monet, Vreme: 0.0445ms
[17:29:43] [Nit 12] Cache hit (author): monet, Vreme: 0.0224ms
[17:29:43] [Nit 14] Cache hit (author): monet, Vreme: 0.0234ms
[17:29:43] [Nit 10] Cache hit (author): monet, Vreme: 0.0236ms
[17:29:43] [Nit 13] Cache hit (author): monet, Vreme: 0.0159ms
[17:29:43] [Nit 5] Cache hit (author): monet, Vreme: 0.0443ms
[17:29:43] [Nit 8] Cache hit (author): monet, Vreme: 0.0216ms
[17:29:43] [Nit 7] Cache hit (author): monet, Vreme: 0.0219ms
[17:29:43] [Nit 11] Cache hit (author): monet, Vreme: 0.0372ms
[17:29:43] [Nit 6] Cache hit (author): picasso, Vreme: 0.0168ms
[17:29:43] [Nit 9] Cache hit (author): monet, Vreme: 0.0222ms
[17:29:43] [Nit 12] Cache hit (author): monet, Vreme: 0.0233ms
[17:29:43] [Nit 14] Cache hit (author): monet, Vreme: 0.0384ms
[17:29:43] [Nit 10] Cache hit (author): picasso, Vreme: 0.0412ms
[17:29:43] [Nit 13] Cache hit (author): picasso, Vreme: 0.0464ms
[17:29:43] [Nit 5] Cache hit (author): picasso, Vreme: 0.0345ms
[17:29:43] [Nit 8] Cache hit (author): picasso, Vreme: 0.0259ms
[17:29:43] [Nit 7] Cache hit (author): picasso, Vreme: 0.0312ms
[17:29:43] [Nit 11] Cache hit (author): picasso, Vreme: 0.0457ms
[17:29:43] [Nit 6] Cache hit (author): picasso, Vreme: 0.0229ms
[17:29:43] [Nit 9] Cache hit (author): picasso, Vreme: 0.0488ms
[17:29:43] [Nit 12] Cache hit (author): picasso, Vreme: 0.0233ms
[17:29:43] [Nit 14] Cache hit (author): picasso, Vreme: 0.0206ms
[17:29:43] [Nit 10] Cache hit (author): picasso, Vreme: 0.0181ms
[17:29:43] [Nit 13] Cache hit (author): picasso, Vreme: 0.0233ms
[17:29:43] [Nit 5] Cache hit (author): picasso, Vreme: 0.038ms
[17:29:43] [Nit 8] Cache hit (author): picasso, Vreme: 0.0417ms
[17:29:43] [Nit 7] Cache hit (author): picasso, Vreme: 0.0355ms
[17:29:43] [Nit 11] Cache hit (author): picasso, Vreme: 0.0199ms
[17:29:43] [Nit 6] Cache hit (q): mona lisa, Vreme: 0.0381ms
[17:29:43] [Nit 9] Cache hit (author): picasso, Vreme: 0.0302ms
[17:29:43] [Nit 12] Cache hit (author): picasso, Vreme: 0.0432ms
[17:29:43] [Nit 14] Cache hit (author): picasso, Vreme: 0.024ms
[17:29:43] [Nit 10] Cache hit (q): mona lisa, Vreme: 0.0316ms
[17:29:43] [Nit 13] Cache hit (q): mona lisa, Vreme: 0.0362ms
[17:29:43] [Nit 5] Cache hit (q): mona lisa, Vreme: 0.0286ms
[17:29:43] [Nit 8] Cache hit (q): mona lisa, Vreme: 0.0372ms
[17:29:43] [Nit 7] Cache hit (q): mona lisa, Vreme: 0.0204ms
[17:29:43] [Nit 11] Cache hit (q): mona lisa, Vreme: 0.0364ms
[17:29:43] [Nit 6] Cache hit (q): mona lisa, Vreme: 0.0441ms
[17:29:43] [Nit 9] Cache hit (q): mona lisa, Vreme: 0.0224ms
[17:29:43] [Nit 12] Cache hit (q): mona lisa, Vreme: 0.0258ms
[17:29:43] [Nit 14] Cache hit (q): mona lisa, Vreme: 0.0207ms
[17:29:43] [Nit 10] Cache hit (q): mona lisa, Vreme: 0.0147ms
[17:29:43] [Nit 13] Cache hit (q): mona lisa, Vreme: 0.022ms
[17:29:43] [Nit 5] Cache hit (q): mona lisa, Vreme: 0.0384ms
[17:29:43] [Nit 8] Cache hit (q): mona lisa, Vreme: 0.0221ms
[17:29:43] [Nit 7] Cache hit (q): mona lisa, Vreme: 0.0312ms
[17:29:43] [Nit 11] Cache hit (q): mona lisa, Vreme: 0.0254ms
[17:29:43] [Nit 6] Cache hit (author): van gogh, Vreme: 0.0301ms
